id,setor,tombo,descricao,
tnr4CSR6Fe,111705,15943,AGITADOR MAGNÉTICO COM AQUECIMENTO,
toGQV8EHe4,1115,2317,CADEIRA FIXA AZUL ROYAL,
toUKV7nEwE,1164,5986,MESA PARA COMPUTADOR BEGE COM SUPORTE,
toqdwS17c1,110409,341758,CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS,
totXYuLyNP,110302,11809,MÓDULO DE DUAS PORTAS 10GBASE-X PARA SWITCH,
tov81ZdFzA,1115,18296,PROJETOR ACER X1223HP 4,
tow2CcaA9S,110409,238097,ESTABILIZADOR DE TENSAO,
tow8cu4VEh,1113,12411,CADEIRA FIXA EM POLIPROPILENO,
tp0SLEr92F,1124,11648,CAMERA DIGITAL CANON POWERSHOT SX 400IS,
tp1bdQ8RWU,110409,208578,ESTABILIZADOR DE TENSAO,
tp2XziIQwF,1164,4744,COMPUTADOR DELL OPTIPLEX 5050 SFF,
tp83qPj2v4,1117,8262,MESA RETA 800X600755,
tp9sHpGQMA,1114,9940,ESTANTE INDUSTRIAL (ARMÁRIO ESTANTE),
tpGaAiL2IR,1114,11984,[UFCA] TABLET WORKTAB Q10,
tpGaZIlH3n,1164,5956,MESA PARA COMPUTADOR BEGE COM SUPORTE,
tpSV5p4B2J,111106,821609,MESA PARA MICROCOMPUTADOR,
tpllmzOVd1,110409,14947,CADEIRA FIXA EMPILHÁVEL,
tq6g73iK1m,1110,5812,MESA DE ESCRITÓRIO COM 3 GAVETAS,
tq7Cp7PiIG,1114,10349,TELA DE PROJEÇÃO. TELA DE PROJEÇÃO RETRÁTIL DE,
tqIph185xB,1109,16173,SSD INTERNO 240GB,
tqJEAHn55T,112303,14653,CADEIRA FIXA EMPILHÁVEL,
tqKEEHMy5v,110409,821325,CARTEIRA  COM ASSENTO E ENCOSTO EM MADEIRA,
tqSkVesbJO,111104,679,COMPUTADOR - ESTAÇÃO TRABALHO - DESKTOP ´TIPO,
tqsmGP42hb,112201,4601,COMPUTADOR DELL OPTIPLEX 5050 SFF,
trFrevhIDK,110409,222942,CADEIRA PARA AUDITORIO COM ASSENTO E ENCOSTO,
trZRvRvEqd,112303,14115,MESA REFEITÓRIO 6 LUGARES,
traAbIpbmd,110409,9143,CARTEIRA ESCOLAR PARA DESTRO,
trjnDoak2L,110409,208711,MOCHO ODONTOLOGICO,
trmCTECHGF,110409,258600,CADEIRA GIRATORIA COM ASSENTO E ENCOSTO,
ts4RlLTApO,1114,16303,OFTALMOSCÓPIO MD,
ts5kTqoHbZ,110409,341619,CADEIRA GIRATORIA COM ASSENTO E ENCOSTO,
tsEoBlSfPv,110409,319549,CARTEIRA ESCOLAR UNIVERSITARIA COM ASSENTO E,
tsKNHT5ZZU,110302,565,REDE DE INFORMÁTICA P DUAL-BAND INDOOR GERAL,
tsUWnYOd7Z,1164,11654,APARELHO DE AR CONDICIONADO TIPO SPLIT 30.000,
tscM0QQYHN,111103,11630,CADEIRA ISO EM POLIPROPILENO,
tseYB2MbFq,1107,18167,QUADRO BRANCO 200X120CM,
tshwbL2TWG,110409,820345,BANCO INDIVIDUAL COM ASSENTO ESTOFADO,
tssdQtldQZ,112311,8567,MESA RETANGULAR 1000X600X750MM,
tsvcMOH6yd,1164,10186,POLTRONA PARA AUDITORIO,
tt76mpnzGY,1113,930,COMPUTADOR - ESTAÇÃO TRABALHO - DESKTOP ´TIPO,
ttMwZtA1Fd,110409,820512,MESA DE MADEIRA PARA MAQUINA DE ESCREVER,
ttX8lpd6gm,110409,991357,CONJUNTO DE INSTRUMENTOS MUSICAIS,
tteUEvJmdu,111106,276391,CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS,
ttveB4C5pV,1114,10336,TELA DE PROJEÇÃO. TELA DE PROJEÇÃO RETRÁTIL DE,
tu0DprVlMz,1110,18415,PROJETOR ACER X1223HP 4,
tu230OtMtE,110409,308001,FONTE DE TENSAO,
tu3VYrkAaH,1114,16373,EXTINTOR ABC 6KG,
tuE1ub5zOV,1115,4762,APARELHO DE AR CONDICIONADO SPLIT HI-WALL,
tuT4udlo9b,110409,275,COMPUTADOR - ESTAÇÃO TRABALHO - DESKTOP ´TIPO,
tuTDSNRwVU,110409,18647,VENTILADOR DE PAREDE 200W.,
tuwcEzTkrn,110409,300364,REOMETRO,
tv09P3xuXq,1164,2931,CARTEIRA ESCOLAR PARA DESTRO,
tvFE6Zsrfo,110409,289003,CADEIRA GIRATORIA COM RODIZIOS,
tvdzXZRtTu,1164,18066,CADEIRA ESCOLAR COM PRANCHETA FRONTAL,
tvk6BS7jZ1,110409,208959,CARTEIRA ESCOLAR UNIVERSITARIA DE,
tvloZupnMc,110406,12985,ESTANTE METÁLICA ABERTA,
tvyICerVKw,1117,7490,COMPUTADOR DELL OPTIPLEX 7060,
tw9CN0nMz4,1114,16362,EXTINTOR ABC 6KG,
twAZ73tOYx,1164,1658,CADEIRA COMUM,
twE5mIKKji,111103,12617,CADEIRA FIXA GIRATORIA PARA BANCADA,
twF7qP5ZwJ,1114,3024,CARTEIRA ESCOLAR PARA DESTRO,
twGYIXlEC6,1115,13241,BANQUETA ALTA MADEIRA,
twmyiqA1wM,1164,2820,CARTEIRA ESCOLAR PARA DESTRO,
twpE6pwXPI,1102,4397,CADEIRA ESCRITÓRIO PRETA,
twvOuHm0A0,1110,2462,CADEIRA FIXA AZUL ROYAL,
txEO9YXkJR,112205,11318,POLTRONA FIXA,
txFAlwFaBM,110409,238006,CARTEIRA  COM ASSENTO E ENCOSTO EM MADEIRA,
txGUP0awKT,112303,14155,CADEIRA FIXA EMPILHÁVEL,
txHSVe4IKL,110409,317613,REFRIGERADOR TIPO FRIGOBAR COM CAPACIDADE DE,
txJdq4khkD,1113,15790,CADEIRA FIXA ASSENTO E ENCOSTO EM,
txR5SdXPIi,1164,3476,MESA DE REUNIÃO REDONDA MED 1000 X 730MM,
txkTYTeLPy,116338,2255,CADEIRA SECRETARIA OPERACIONAL SEM BRAÇOS,
txmbW7Frw5,111612,15190,PRENSA PRA ENSAIO ELÉTRICA,
txvlHHpwDc,112205,8735,ESTANTE FENIX PARA LIVROS,
ty7kA9wECP,111103,7076,CADEIRA EXECUTIVA GIRATÓRIA COM BRAÇOS,
tyYuLjSusy,110409,238035,CARTEIRA  COM ASSENTO E ENCOSTO EM MADEIRA,
tyZPXOCOCj,110409,6631,CADEIRA GIRATÓRIA COM BRAÇOS MARTIFLEX,
tyuigKiwnb,116317,3416,ARMÁRIO ALTO 900X500X1600MM,
tyyslH1FfF,110409,289710,NOTEBOOK,
tzFsxS9ufu,110409,16757,LOUSA EM VIDRO TEMPERADO 6MM 1,
tzbCNXnQ3I,1164,10189,POLTRONA PARA AUDITORIO,
tzqLAJSwep,110409,304159,CALORIMETRO,
u0IC4Nh1eM,110409,269544,QUADRO BRANCO MAGNETIZADO,
u0YxHBVpCr,111102,11122,POLTRONA FIXA,
u0kdsCCHLj,110409,14998,CADEIRA FIXA EMPILHÁVEL,
u0pJsg4YGn,110409,333989,MESA DE MADEIRA REDONDA,
u0qqNuO18x,1114,11539,PROJETOR MULTIMÍDIA EPSON POWER LITE X36,
u0zCmVjXFo,1110,13854,VENTILADOR OSC PAREDE 60CM,
u1AgV7hWG3,112205,3844,BIBLIOCANTO. CONFECÇÃO EM AÇO,
u1EjWati8C,111302,4369,CADEIRA ESCRITÓRIO PRETA,
u1NmMtIpRf,110409,8561,MESA RETANGULAR 1000X600X750MM,
u1S1tYNaU4,1116,6202,RETIFICADORA PNEUMÁTICA,
u1WvOhFDyA,1114,17614,CADEIRA ESCOLAR COM PRANCHETA FRONTAL,
u1acl5ucTd,110409,341683,CADEIRA GIRATORIA COM ASSENTO E ENCOSTO,
u1wOQM0GAz,1114,16597,BIOMBO TRIPLO INOX COM TECIDOS E COM RODIZIOS,
u25vkID5L6,1113,12349,CADEIRA FIXA EM POLIPROPILENO,
u28EqnOHCM,110409,239059,ESTABILIZADOR DE TENSAO,
u28TERFPgw,111106,10950,NOTEBOOK LENOVO L450,
u2GZ3hlkzQ,110409,285522,MICROCOMPUTADOR,
u2XeNvm8PR,110409,8156,MESA ESCRITÓRIO 1200X600X740MM,
