tombo
4337
13734
13733
13732
13735
5
13697
13682
13683
16518
13701
13698
13699
16142
15584
15906
13684
15864
13398
17017
15048
31
16115
13477
13478
7673
8936
7674
8935
4344
6771
6772
20
15479
6
12025
12026
12027
12028
12029
12030
15475
15476
11646
10768
6255
6256
6785
6257
8920
6783
6784
6202
163
16465
16468
16469
16472
16473
18457
15221
16508
16511
16221
16222
16223
16224
15277
15278
16226
15249
15912
17034
16569
15182
16466
16475
18245
13066
13067
6847
6848
6849
6850
6851
6852
6853
6854
6855
6856
6857
13072
6793
6791
6962
16470
16524
1236
1237
1238
1239
1217
17086
17088
16523
16471
16474
13086
4356
4358
4359
10890
13156
13157
13158
13159
13387
13388
13389
13390
1232
1233
1240
13407
15979
12533
15616
15618
15619
1060
1061
1057
1059
1064
18246
18247
18248
18249
18250
18251
18252
18253
18254
18255
18256
18257
18258
18259
18260
18261
18272
18273
18274
18275
18276
18277
18278
18279
18280
18281
15222
15223
15224
13731
15449
15450
15126
350161
313543
820374
821399
905954
15617
294384
821397
288637
346702
317811
350162
15368
905956
905955
820373
821398
905938
905939
350127
297213
288615
239318
15371
15372
17083
17087
17089
17090
17091
17092
16509
16512
16513
16514
16515
349412
15458
15459
15460
15461
15462
15463
15464
15465
15466
15467
15468
15469
18239
18240
15574
15270
15043
18608
18611
18613
18614
16216
16217
16218
16219
16220
16225
16227
15107
15108
18677
18678
18679
18680
7629
15996
15937
7654
7655
7677
18241
18242
9947
9948
9949
18237
18233
6770
6776
17
14
15
19
18
18238
11810
11811
11812
1234
16520
4461
17067
15663
13670
16478
4334
15664
15349
15665
15666
15615
15445
13511
13512
13513
13514
13515
13172
13173
16028
12117
15350
15351
13716
13717
13718
13719
16494
16497
16498
16499
16500
16501
16502
16503
16504
17084
17085
17093
16510
15966
16487
16488
13
11
15995
15413
15365
13060
17094
1235
18243
16
12
4357
13393
15218
15219
15220
15206
15190
15191
15192
13469
15156
16467
18641
4355
15110
12102
6796
6795
6794
15620
15621
13059
15038
1058
15420
15410
15474
